pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,survived
0.8273772438659699,1,-0.5657364610748746,0.4327933656785018,-0.4736736092984604,-0.5024451714361923,2,2,1,1,2,2,0,0,0
-1.5661069258891576,0,0.6638610320657843,0.4327933656785018,-0.4736736092984604,0.7868452935884461,0,0,2,0,2,0,1,0,1
0.8273772438659699,0,-0.2583370877897099,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,2,2,2,0,2,2,1,1,1
-1.5661069258891576,0,0.4333115021019107,0.4327933656785018,-0.4736736092984604,0.4207302360686478,2,0,2,0,2,2,1,0,1
0.8273772438659699,1,0.4333115021019107,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,2,1,1,2,2,0,1,0
0.8273772438659699,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.47811642890864375,1,2,1,1,2,1,0,1,0
-1.5661069258891576,1,1.893458525206443,-0.47454519624983954,-0.4736736092984604,0.395813560675251,2,0,1,1,4,2,0,1,0
0.8273772438659699,1,-2.1027333275006983,2.2474704895351842,0.7676298785983874,-0.22408312108167944,2,2,0,0,2,2,0,0,0
0.8273772438659699,0,-0.1814872444684187,-0.47454519624983954,2.0089333664952354,-0.4242561406845337,2,2,2,0,2,2,1,0,1
-0.3693648410115938,0,-1.180535207645204,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,0,1,0,0,2,0,1,0,1
0.8273772438659699,0,-1.949033640858116,0.4327933656785018,0.7676298785983874,-0.312172377522981,2,2,0,0,6,2,1,0,1
-1.5661069258891576,0,2.200857898491608,-0.47454519624983954,-0.4736736092984604,-0.11384570873513637,2,0,2,0,2,2,1,1,1
0.8273772438659699,1,-0.719436147717457,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,2,1,1,2,2,0,1,0
0.8273772438659699,1,0.7407108753870755,0.4327933656785018,5.73284383018578,-0.01870931177853076,2,2,1,1,2,2,0,0,0
0.8273772438659699,0,-1.180535207645204,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,2,2,0,0,2,2,0,1,0
-0.3693648410115938,0,1.9703083685277343,-0.47454519624983954,-0.4736736092984604,-0.3262666585535892,2,1,2,0,2,2,1,1,1
0.8273772438659699,1,-2.1027333275006983,3.1548090514635256,0.7676298785983874,-0.06199888922968463,1,2,0,0,2,1,0,0,0
-0.3693648410115938,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,2,1,1,1,2,2,1,1,1
0.8273772438659699,0,0.12591212881674602,0.4327933656785018,-0.4736736092984604,-0.2859972841804228,2,2,2,0,2,2,0,0,0
0.8273772438659699,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0,2,2,0,2,0,1,1,1
-0.3693648410115938,1,0.4333115021019107,-0.47454519624983954,-0.4736736092984604,-0.12491978668775715,2,1,1,1,2,2,0,1,0
-0.3693648410115938,1,0.35646165878061953,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,2,1,1,1,3,2,1,1,1
0.8273772438659699,0,-1.1036853643239128,-0.47454519624983954,-0.4736736092984604,-0.4867562231804066,1,2,0,0,2,1,1,1,1
-1.5661069258891576,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,2,0,1,1,0,2,1,1,1
0.8273772438659699,0,-1.6416342675729512,2.2474704895351842,0.7676298785983874,-0.22408312108167944,2,2,0,0,2,2,0,0,0
0.8273772438659699,0,0.6638610320657843,0.4327933656785018,5.73284383018578,-0.016444159470040135,2,2,2,0,2,2,1,0,1
0.8273772438659699,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0,2,1,1,2,0,0,1,0
-1.5661069258891576,1,-0.7962859910387481,2.2474704895351842,2.0089333664952354,4.647001076532463,2,0,1,1,2,2,0,0,0
0.8273772438659699,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,1,2,2,0,2,1,1,1,1
0.8273772438659699,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,2,2,1,1,2,2,0,1,0
-1.5661069258891576,1,0.8175607187083667,-0.47454519624983954,-0.4736736092984604,-0.09027201697708476,0,0,1,1,2,0,0,1,0
-1.5661069258891576,0,-0.10463740114712752,0.4327933656785018,-0.4736736092984604,2.301728820789,0,0,2,0,1,0,1,0,1
0.8273772438659699,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,1,2,2,0,2,1,1,1,1
